date;CDS Argentina;CDS Australia;CDS Austria;CDS Belgium;CDS Brazil;CDS Chile;CDS China;CDS Colombia;CDS Denmark;CDS Finland;CDS France;CDS Germany;CDS Greece;CDS Hungary;CDS Indonesia;CDS Ireland;CDS Italy;CDS Japan;CDS Kazakhstan;CDS Korea;CDS Malaysia;CDS Mexico;CDS Netherlands;CDS Panama;CDS Peru;CDS Philippines;CDS Poland;CDS Portugal;CDS Qatar;CDS Russia;CDS Saudi Arabia;CDS South Africa;CDS Spain;CDS Sweden;CDS Thailand;CDS Turkey;CDS Ukraine;CDS United Kingdom;CDS United States;CDS Venezuela
2009-09-30;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;146.17;100.0
2009-10-01;100.2644758654;100.0031869014;100.0071158038;99.9405208903;99.7247792654;99.9882681411;99.9693622487;99.6737454976;;99.9837526265;100.0144628529;99.9526664591;99.8959277882;;99.9535518569;99.8903755991;99.945881151;99.9708695559;99.9621171676;100.0011382424;100.0561177397;99.6097555631;100.0;99.7277901346;99.6836797688;99.9956855695;99.9671488919;99.4593406951;100.0145195078;99.8166293731;100.0574878648;99.9262608901;99.9832021686;100.0;99.9560461103;99.6614207541;100.2271486672;100.1063902529;146.2054029239;99.124300597
2009-10-02;100.7024382972;99.7543475927;;99.7834501526;99.7404350879;99.9039501911;99.7718245096;99.6879481015;;99.9466341949;99.9558222099;99.9178947474;99.7482021698;;99.2913131526;99.7325255718;99.8545256198;99.8196452398;99.8344171849;99.4839504429;99.704416666;99.6055610518;99.9269012184;99.716278413;99.632064519;99.5143688855;99.9009786382;99.394484646;99.9283783143;99.7319041395;99.9137819962;99.878869882;99.8526228399;99.8970614748;99.6688170926;99.4999618169;99.2190727125;99.9325356379;146.3161319377;98.6579699693
2009-10-05;103.0730975546;99.81073044;;99.9039150446;100.1830707327;99.9182477041;99.6895534309;100.178353916;;99.9778410486;99.9901578028;99.9596207474;100.1501884975;;99.4249021539;100.0467983095;99.9137182474;99.7615690596;100.2006675881;99.5185004489;99.7799277624;100.209928365;100.0133561889;100.2217114184;100.1638043429;99.6136127247;100.1006064938;99.4863921516;99.9736932511;100.3683291474;99.9524049146;100.1545300283;99.9467674077;99.9417117883;99.7524615176;99.9032002831;99.6592798356;99.9657730961;146.3632147567;99.3218294339
2009-10-06;103.7541044958;100.0117731126;;99.9444795062;100.5011055963;99.9498909596;99.8572487609;100.4787507725;;;100.0503619996;100.0162594545;100.0265096688;;99.8886152572;100.299482769;99.980077754;99.750800244;100.7412078622;99.9485639415;100.0275819388;100.5301165312;100.022507277;100.5577233486;100.4560415668;100.0904254826;100.3332051789;99.5097819299;99.9861026201;101.3458521915;99.9249454636;100.6959820209;99.9765339182;99.9673122171;100.0001810254;100.5923633792;99.7429636373;100.0045570056;146.2124296094;100.2727290749
2009-10-07;103.1097704942;100.009474646;;99.8937757988;100.3482097939;100.9922931341;99.9648516797;100.2839618173;;;100.0349461998;100.0042373478;99.9374679916;;100.2676109985;100.1940038662;99.9655654405;99.7488355845;100.7175580971;100.0471868916;100.1196846163;100.3502790006;100.006488337;100.3927545603;100.415657574;100.4161932585;100.2303500975;99.3982671462;99.9612320179;101.1878119793;99.9868175353;100.565854667;99.9776714311;99.8709688399;100.0808859107;100.4944999763;99.6334703864;100.0032295617;146.150403069;99.68199051
2009-10-08;103.3903564289;100.0797795018;;99.9405047588;100.5774112453;100.9193220967;100.1354682546;100.4941153508;100.0428815074;;100.0607568606;100.0595423659;99.986264623;;100.6459891348;100.2301724383;100.0087307452;99.8128383135;101.1958885049;100.4050436208;100.2649760331;100.5859821144;100.0364574354;100.5782838483;100.5814864133;100.6588222961;100.3854875885;99.4412847561;99.9780093851;101.5634582097;99.9950744889;100.8541917333;99.9995832143;99.8785073602;100.2647577474;100.823233229;98.5134743271;99.9088678136;146.5115012718;99.2190478159
2009-10-09;103.8536970221;100.0667932435;99.9974222289;99.9381704741;100.6232420209;100.9862332652;100.131599171;100.5776539579;99.9976504355;;100.0459894076;100.0607938328;99.9186036232;;100.6054072728;100.2733216389;99.9901015342;99.8382272367;101.2383325048;100.3646765865;100.107439116;100.5978673031;100.1414298958;100.6583212796;100.6021141767;100.6087751095;100.2825839335;99.422398541;99.98732119;101.6221561724;100.0177378356;100.9960984407;99.9662032509;99.8493510056;100.1031338193;100.9005632219;97.6872945169;99.8986816375;146.1970099451;99.3045504566
2009-10-12;103.8011790323;100.0549754542;100.0263529501;99.963363059;100.6353404032;100.982111607;100.1069626373;100.5974370515;100.0682567451;;100.0422221161;100.0568727176;99.9443204637;;100.570393378;100.2541315855;99.9938642453;99.8226059618;101.2512077361;100.3037432465;100.118165817;100.6227528015;100.0691935898;100.676474883;100.6167643448;100.5317670783;100.3073588602;99.4314659612;99.9981617006;101.7448212614;100.0193437331;100.9990388524;99.9738859931;99.8764334338;100.116156065;100.9461542407;97.5237214928;99.9005754232;146.1874227566;99.4079781467
2009-10-13;103.5384878219;100.0558419002;100.0063886618;99.9246148485;100.6141327875;100.9911556025;100.0716024517;100.5527171108;100.0202463199;99.9708356201;100.0419879383;100.0197141181;99.8975618171;;100.5717806286;100.2326022222;99.9809667636;99.8453154669;101.0600519254;100.3811166616;100.1203546234;100.626406682;100.0488154057;100.6243679768;100.6625055028;100.6032713546;100.3141388075;99.4135175979;99.9896925467;101.8067273176;100.1045335011;100.9964835644;99.9633045732;99.8496289075;100.1269835121;100.98765414;98.1345700858;99.9635246587;146.2113408677;99.3341663437
