;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
8007;474520;2010-01-04;DAP;G10;0;0;0;0;0.0;99539.75;99548.19;0.0;0.0;0.0;0.0;0.0;99532.58;0.0;0.0
8008;474521;2010-01-04;DAP;Q10;775;775;0;0;0.0;97469.15;97482.53;0.0;0.0;0.0;0.0;0.0;97467.25;0.0;0.0
8009;474522;2010-01-04;DAP;G11;0;0;0;0;0.0;94424.66;94466.76;0.0;0.0;0.0;0.0;0.0;94451.95;0.0;0.0
8010;474523;2010-01-04;DAP;K11;0;0;0;0;0.0;92784.91;92843.58;0.0;0.0;0.0;0.0;0.0;92829.02;0.0;0.0
8011;474524;2010-01-04;DAP;Q11;0;0;0;0;0.0;91067.14;91142.33;0.0;0.0;0.0;0.0;0.0;91128.04;0.0;0.0
8012;474525;2010-01-04;DAP;G12;0;0;0;0;0.0;87783.22;87875.71;0.0;0.0;0.0;0.0;0.0;87861.93;0.0;0.0
8013;474526;2010-01-04;DAP;Q12;10;10;0;0;0.0;84799.95;84900.32;0.0;0.0;0.0;0.0;0.0;84887.01;0.0;0.0
8014;474527;2010-01-04;DAP;K15;550;550;0;0;0.0;70725.81;70769.12;0.0;0.0;0.0;0.0;0.0;70758.03;0.0;0.0
8015;474528;2010-01-04;DAP;K17;0;0;0;0;0.0;62451.35;62452.14;0.0;0.0;0.0;0.0;0.0;62442.35;0.0;0.0
8016;474529;2010-01-05;DAP;G10;0;0;0;0;0.0;99548.19;99557.54;0.0;0.0;0.0;0.0;0.0;99541.96;0.0;0.0
8017;474530;2010-01-05;DAP;Q10;775;775;0;0;0.0;97482.53;97509.5;0.0;0.0;0.0;0.0;0.0;97494.24;0.0;0.0
8018;474531;2010-01-05;DAP;G11;0;0;0;0;0.0;94466.76;94502.88;0.0;0.0;0.0;0.0;0.0;94488.09;0.0;0.0
8019;474532;2010-01-05;DAP;K11;0;0;0;0;0.0;92843.58;92880.41;0.0;0.0;0.0;0.0;0.0;92865.88;0.0;0.0
8020;474533;2010-01-05;DAP;Q11;0;0;0;0;0.0;91142.33;91179.76;0.0;0.0;0.0;0.0;0.0;91165.49;0.0;0.0
8021;474534;2010-01-05;DAP;G12;0;0;0;0;0.0;87875.71;87907.47;0.0;0.0;0.0;0.0;0.0;87893.71;0.0;0.0
8022;474535;2010-01-05;DAP;Q12;10;10;0;0;0.0;84900.32;84913.08;0.0;0.0;0.0;0.0;0.0;84899.79;0.0;0.0
8023;474536;2010-01-05;DAP;K15;550;550;0;0;0.0;70769.12;70751.76;0.0;0.0;0.0;0.0;0.0;70740.69;0.0;0.0
