;id;time_stamp;contract;maturity_code;open_interest_open;open_interest_close;number_of_trades;trading_volume;financial_volume;previous_settlement;indexed_settlement;opening_price;minimum_price;maximum_price;average_price;last_price;settlement_price;last_bid;last_offer
105798;590977;2019-01-02;FRC;H19;;;35;56600;10828800803.0;;;3.31;3.28;3.31;3.28;3.28;3.28;0.0;0.0
105799;590978;2019-01-02;FRC;J19;;;26;44384;8481750564.0;;;3.13;3.07;3.13;3.08;3.07;3.07;0.0;0.0
105800;590979;2019-01-02;FRC;K19;;;3;418;79767775.0;;;3.2;3.13;3.2;3.13;3.13;3.13;0.0;0.0
105801;590980;2019-01-02;FRC;M19;;;1;80;15242050.0;;;3.23;3.23;3.23;3.23;3.23;3.17;0.0;0.0
105802;590981;2019-01-02;FRC;N19;;;17;20800;3957903791.0;;;3.29;3.23;3.29;3.24;3.23;3.23;0.0;3.23
105803;590982;2019-01-02;FRC;Q19;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.33;0.0;0.0
105804;590983;2019-01-02;FRC;U19;;;4;1188;225375295.0;;;3.31;3.31;3.31;3.31;3.31;3.31;0.0;0.0
105805;590984;2019-01-02;FRC;V19;;;13;3266;618624031.0;;;3.42;3.37;3.42;3.37;3.37;3.37;3.35;0.0
105806;590985;2019-01-02;FRC;X19;;;6;1242;234831125.0;;;3.48;3.46;3.48;3.46;3.46;3.46;0.0;0.0
105807;590986;2019-01-02;FRC;Z19;;;5;985;185958816.0;;;3.47;3.47;3.47;3.47;3.47;3.47;3.44;0.0
105808;590987;2019-01-02;FRC;F20;;;23;10179;1918847069.0;;;3.52;3.45;3.52;3.47;3.45;3.45;0.0;0.0
105809;590988;2019-01-02;FRC;J20;;;5;1607;301617053.0;;;3.57;3.49;3.57;3.49;3.49;3.49;0.0;0.0
105810;590989;2019-01-02;FRC;N20;;;9;1816;339272022.0;;;3.58;3.53;3.58;3.53;3.53;3.53;0.0;0.0
105811;590990;2019-01-02;FRC;V20;;;2;78;14501707.0;;;3.6;3.6;3.6;3.6;3.6;3.54;0.0;0.0
105812;590991;2019-01-02;FRC;F21;;;23;9252;1712830275.0;;;3.62;3.55;3.62;3.55;3.55;3.55;0.0;0.0
105813;590992;2019-01-02;FRC;J21;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.55;0.0;0.0
105814;590993;2019-01-02;FRC;N21;;;1;19;3484488.0;;;3.61;3.61;3.61;3.61;3.61;3.54;0.0;0.0
105815;590994;2019-01-02;FRC;V21;;;1;19;3468717.0;;;3.63;3.63;3.63;3.63;3.63;3.56;0.0;0.0
105816;590995;2019-01-02;FRC;F22;;;10;2072;376898022.0;;;3.64;3.56;3.64;3.58;3.56;3.56;0.0;0.0
105817;590996;2019-01-02;FRC;J22;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.57;0.0;0.0
105818;590997;2019-01-02;FRC;N22;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.62;0.0;0.0
105819;590998;2019-01-02;FRC;V22;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.59;0.0;0.0
105820;590999;2019-01-02;FRC;F23;;;8;2096;374282555.0;;;3.7;3.63;3.7;3.66;3.63;3.63;0.0;0.0
105821;591000;2019-01-02;FRC;J23;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.67;0.0;0.0
105822;591001;2019-01-02;FRC;N23;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.67;0.0;0.0
105823;591002;2019-01-02;FRC;V23;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.67;0.0;0.0
105824;591003;2019-01-02;FRC;F24;;;3;423;74126509.0;;;3.79;3.72;3.79;3.72;3.72;3.72;0.0;0.0
105825;591004;2019-01-02;FRC;N24;;;0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;3.7;0.0;0.0
105826;591005;2019-01-02;FRC;F25;;;6;1051;180765413.0;;;3.83;3.78;3.83;3.78;3.78;3.78;0.0;0.0
