;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.043122754571018995;1104.842746;2.369999999999891;501;48.808848170151634;1.8654246484241435;1.7830017832099476;-0.19699365862845752;0.3332991701515766;1000.0;379216;;2.505784970692768;2023-01-02;BRSTNCNTF147;2021-01-04
1;1;0.05454496855291336;1156.929303;4.519999999999982;1003;48.808848170151634;3.489143151943292;3.2566439887058314;-0.3767706859972577;0.5067581701514428;1000.0;133347;;7.334428038901723;2025-01-02;BRSTNCNTF170;2021-01-04
2;2;0.06203623523273321;1183.105268;6.380000000000109;1504;48.808848170151634;4.955917126478462;4.493497044839082;-0.5316280025491551;1.492741170151703;1000.0;362161;;13.657719744451459;2027-01-04;BRSTNCNTF1P8;2021-01-04
3;3;0.06614004091087067;1203.425783;8.029999999999973;2003;48.808848170151634;6.314480911359887;5.548375810768706;-0.6677058504452589;-0.3927308298484604;1000.0;206844;;20.95241728569465;2029-01-02;BRSTNCNTF1Q6;2021-01-04
4;4;0.06896397673916461;1217.574616;9.450000000000045;2504;48.808848170151634;7.604056307451942;6.454992493816921;-0.7859435006942022;2.082663170151818;1000.0;369732;;28.84279011896142;2031-01-02;BRSTNCNTF204;2021-01-04
5;0;0.04427652926240761;1102.763136;2.3600000000001273;500;0.0;1.8614563944558895;1.7770898490411555;-0.19597091748823914;-2.0796100000000024;1000.0;1007924;;2.491421942972833;2023-01-02;BRSTNCNTF147;2021-01-05
6;1;0.055689522026716266;1152.8759599999998;4.509999999999991;1002;0.0;3.4851748979750377;3.248239155143004;-0.37448168342950794;-4.053343000000041;1000.0;528497;;7.301334453643681;2025-01-02;BRSTNCNTF170;2021-01-05
7;2;0.06305909972758833;1177.970112;6.3900000000001;1503;0.0;4.951948872510208;4.482482735237718;-0.5280230689666041;-5.135156000000052;1000.0;2491981;;13.60128771546983;2027-01-04;BRSTNCNTF1P8;2021-01-05
8;3;0.06720987757513153;1196.620029;8.02000000000021;2002;0.0;6.310512657391633;5.532768634266538;-0.6620621763586314;-6.805753999999979;1000.0;191569;;20.85658778834766;2029-01-02;BRSTNCNTF1Q6;2021-01-05
9;4;0.06972918844405875;1211.9051140000001;9.450000000000045;2503;0.0;7.600088053483686;6.439031345026687;-0.7803495016244142;-5.669501999999966;1000.0;476064;;28.73016608118883;2031-01-02;BRSTNCNTF204;2021-01-05
10;0;0.04548945112498051;1100.5844650000001;2.349999999999909;499;0.0;1.8574881404876358;1.7710834833165596;-0.19492269679562924;-2.1786709999998948;1000.0;1289786;;2.476838657064564;2023-01-02;BRSTNCNTF147;2021-01-06
11;1;0.05725297476746689;1147.295075;4.460000000000036;1001;0.0;3.4812066440067837;3.2381597490359257;-0.37151247321321534;-5.580884999999853;1000.0;440270;;7.26146174190128;2025-01-02;BRSTNCNTF170;2021-01-06
12;2;0.06511774301093379;1167.4597919999999;6.2999999999999545;1502;0.0;4.947980618541954;4.464141955736662;-0.5211706239102796;-10.510320000000092;1000.0;1320418;;13.506973107491588;2027-01-04;BRSTNCNTF1P8;2021-01-06
13;3;0.06929531515233688;1183.235564;7.910000000000082;2001;0.0;6.30654440342338;5.50593671321538;-0.6514820132209707;-13.384464999999864;1000.0;1103170;;20.691898648033735;2029-01-02;BRSTNCNTF1Q6;2021-01-06
14;4;0.0717428434124569;1196.660743;9.299999999999955;2502;0.0;7.596119799515432;6.403154344023536;-0.7662403434862881;-15.244371000000228;1000.0;995629;;28.476917608480104;2031-01-02;BRSTNCNTF204;2021-01-06
15;0;0.04746811087156731;1096.9401070000001;2.3300000000001546;498;0.0;1.8535198865193818;1.7637067307544902;-0.1934680649950451;-3.644358000000011;1000.0;1155263;;2.458569461295825;2023-01-02;BRSTNCNTF147;2021-01-07
16;1;0.059742415649822904;1138.3599769999998;4.440000000000055;1000;0.0;3.4772383900385297;3.2243860443788463;-0.3670512023318224;-8.935098000000153;1000.0;1453035;;7.206631059528526;2025-01-02;BRSTNCNTF170;2021-01-07
17;2;0.0677770177603815;1154.0115150000001;6.25;1501;0.0;4.9440123645737;4.441619608497954;-0.5125680173456431;-13.448276999999734;1000.0;1409525;;13.391411851331982;2027-01-04;BRSTNCNTF1P8;2021-01-07
18;3;0.07238333841366242;1163.671683;7.7999999999999545;2000;0.0;6.302576149455126;5.468124679862651;-0.6363101849069608;-19.563881000000038;1000.0;828766;;20.46064985197474;2029-01-02;BRSTNCNTF1Q6;2021-01-07
19;4;0.0750159891554898;1172.2780300000002;9.180000000000064;2501;0.0;7.5921515455471775;6.347358589777635;-0.7440869023328105;-24.38271299999974;1000.0;597349;;28.08469631903665;2031-01-02;BRSTNCNTF204;2021-01-07
20;0;0.0481067753600751;1095.909908;2.3199999999999363;497;0.0;1.8495516325511279;1.7587675832256071;-0.19274508203261576;-1.0301990000000387;1000.0;891293;;2.4469656747903206;2023-01-02;BRSTNCNTF147;2021-01-08
21;1;0.060511201666523406;1135.807751;4.420000000000073;999;0.0;3.473270136070276;3.217558330418515;-0.36545276909839686;-2.5522259999997914;1000.0;951226;;7.180246155017386;2025-01-02;BRSTNCNTF170;2021-01-08
22;2;0.06848005563671107;1150.7180150000002;6.170000000000073;1500;0.0;4.940044110605446;4.432948369986248;-0.5101073548908062;-3.2934999999999945;1000.0;1749349;;13.347631583896824;2027-01-04;BRSTNCNTF1P8;2021-01-08
23;3;0.07288173902814751;1160.830227;7.669999999999845;1999;0.0;6.298607895486871;5.458934935013164;-0.6336896679789561;-2.8414560000001075;1000.0;589000;;20.40515460636133;2029-01-02;BRSTNCNTF1Q6;2021-01-08
24;4;0.07538512738614608;1169.8731539999999;8.970000000000027;2500;0.0;7.5881832915789245;6.337807892558948;-0.7414431308714029;-2.404876000000286;1000.0;757726;;28.018449198309956;2031-01-02;BRSTNCNTF204;2021-01-08
25;0;0.05020775833234738;1092.08445;2.2999999999999545;496;0.0;1.845583378582874;1.7512134239324273;-0.19124729489078618;-3.825458000000026;1000.0;759972;;2.4283165991648934;2023-01-02;BRSTNCNTF147;2021-01-11
26;1;0.06292351684327127;1127.3120800000002;4.3599999999999;998;0.0;3.4693018821020214;3.204176704693001;-0.36121071056550136;-8.495670999999902;1000.0;602064;;7.127316493426159;2025-01-02;BRSTNCNTF170;2021-01-11
27;2;0.07050165073817988;1140.776544;6.069999999999936;1499;0.0;4.936075856637192;4.4150215494157115;-0.5036553024827981;-9.941471000000092;1000.0;894487;;13.256367675581988;2027-01-04;BRSTNCNTF1P8;2021-01-11
28;3;0.07466544631192913;1149.9305789999999;7.540000000000191;1998;0.0;6.294639641518618;5.4356259085771566;-0.625059244827753;-10.89964800000007;1000.0;315647;;20.26370509672145;2029-01-02;BRSTNCNTF1Q6;2021-01-11
29;4;0.07705486715589945;1157.924883;8.819999999999936;2499;0.0;7.5842150376106705;6.307656231321824;-0.7303792103657543;-11.948270999999977;1000.0;711894;;27.808129264127796;2031-01-02;BRSTNCNTF204;2021-01-11
30;0;0.04940317108455299;1093.8342109999999;2.2799999999999727;495;0.0;1.8416151246146197;1.748873205712696;-0.19129773431097874;1.7497609999998076;1000.0;218958;;2.423789912578224;2023-01-02;BRSTNCNTF147;2021-01-12
31;1;0.061520657126374646;1132.663525;4.329999999999927;997;0.0;3.4653336281337683;3.2060395511769535;-0.3631364059325506;5.351444999999785;1000.0;201185;;7.13628798827708;2025-01-02;BRSTNCNTF170;2021-01-12
32;2;0.06918625824069044;1147.732481;6.039999999999964;1498;0.0;4.932107602668937;4.42055329512292;-0.5073612600804154;6.955936999999949;1000.0;964850;;13.285714951244092;2027-01-04;BRSTNCNTF1P8;2021-01-12
33;3;0.07332412226425855;1158.682043;7.490000000000009;1997;0.0;6.290671387550364;5.446671214910465;-0.631096013084175;8.751464000000169;1000.0;1870962;;20.33167570061053;2029-01-02;BRSTNCNTF1Q6;2021-01-12
34;4;0.07581355086896853;1167.3795029999999;8.75;2498;0.0;7.5802467836424166;6.323633948694542;-0.738208065618096;9.454619999999977;1000.0;148178;;27.92069174823056;2031-01-02;BRSTNCNTF204;2021-01-12
35;0;0.0516465142257234;1089.773799;2.2799999999999727;494;0.0;1.8376468706463658;1.741094988674273;-0.18973997002274245;-4.060411999999815;1000.0;288316;;2.4046172172332265;2023-01-02;BRSTNCNTF147;2021-01-13
36;1;0.06373456623892204;1124.939255;4.3400000000001455;996;0.0;3.461365374165514;3.1934835738379017;-0.3592475032407947;-7.724269999999933;1000.0;737009;;7.0868589966034685;2025-01-02;BRSTNCNTF170;2021-01-13
37;2;0.07093312589405532;1139.225656;6.079999999999927;1497;0.0;4.928139348700684;4.404582558421597;-0.5017813454524003;-8.506824999999935;1000.0;288971;;13.204697125779367;2027-01-04;BRSTNCNTF1P8;2021-01-13
38;3;0.07461055801196365;1150.93084;7.559999999999945;1996;0.0;6.286703133582111;5.428843204486935;-0.6248223069568439;-7.751203000000032;1000.0;202775;;20.22381632422167;2029-01-02;BRSTNCNTF1Q6;2021-01-13
39;4;0.07702402521980282;1158.832415;8.829999999999927;2497;0.0;7.5762785296741635;6.300775535461088;-0.7301542930131291;-8.547087999999803;1000.0;79074;;27.761663967896755;2031-01-02;BRSTNCNTF204;2021-01-13
